Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Profit
1001,30-08-2025,East,Electronics,Printer,484,10,12000
1002,11-04-2025,South,Electronics,Chair,879,3,1800
1003,16-10-2025,East,Furniture,Table,816,15,7000
1004,23-04-2026,East,Electronics,Printer,522,5,3200
1005,08-01-2025,South,Furniture,Printer,934,3,4500
1006,18-04-2026,West,Office Supplies,Chair,351,15,13500
1007,26-04-2026,West,Electronics,Laptop,897,15,1000
1008,04-01-2026,West,Office Supplies,Paper,1294,3,2450
1009,13-09-2026,East,Electronics,Tablet,1108,3,6200
1010,23-03-2026,North,Office Supplies,Printer,1478,6,1900
1011,07-03-2026,East,Electronics,Paper,1175,2,5000
1012,29-07-2025,South,Office Supplies,Printer,751,8,3240
1013,05-02-2025,South,Electronics,Table,561,1,3500
1014,06-05-2026,North,Electronics,Phone,1322,12,2405
1015,14-07-2026,West,Electronics,Phone,649,9,2500
1016,19-05-2026,East,Electronics,Printer,888,15,1350
1017,25-05-2026,North,Furniture,Chair,350,6,2000
1018,03-07-2025,West,Furniture,Table,823,12,1000
1019,19-10-2025,South,Office Supplies,Table,1020,5,10000
1020,27-12-2025,East,Electronics,Tablet,1095,1,2300
